,order_item_id,price,freight_value,review_score,customer_zip_code_prefix
count,112372.0,112372.0,112372.0,112372.0,112372.0
mean,1.1960096821272204,120.37896246395898,19.977751753105757,4.032472502046773,35131.880690919446
std,0.6912425465220897,182.1523862498788,15.781421337162595,1.3878487841675824,29894.58757285032
min,1.0,0.85,0.0,1.0,1003.0
25%,1.0,39.9,13.07,4.0,11250.0
50%,1.0,74.9,16.25,5.0,24320.0
75%,1.0,134.9,21.15,5.0,59063.0
max,21.0,6735.0,409.68,5.0,99990.0
